id;account_id;card_number;card_type;balance;status
1;28245;everlasting sunbathe clone;finding;26843.76;false
2;28811;onto exploration;parade;12362.1;true
3;7902;ride scented;iterate yippee;3389.34;false
4;30663;smoggy;thongs;6178.28;true
5;12400;intrepid slime;liberalize unique;30009.19;true
6;16706;gah overproduce;absentmindedly;8978.91;true
7;9139;hepatitis winged but;impact access;23456.41;false
8;18765;supposing;brr;9517.92;false
9;11742;wherever worth;nor opposite;15375.93;true
10;5923;by abaft vamoose;gah whopping repeat;20913.33;true
